Control,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld-sup,Tbld-ret,Thw out,Fhp,Thp-sup,Thp-ret,Qhp,Php.1,Pbld
13/07/2016 00:00:00,14.0437970595,14.753025,24.72858,0.0773333333,5652000,23.8,23.6666666667,36.5,0,32.7,24.6333333333,3718000,0,13
13/07/2016 00:15:00,13.9986090311,14.639975,24.69861,0.0776666667,5652000,23.8,23.6333333333,36.1,0,32.1333333333,24.6333333333,3718000,0,13
13/07/2016 00:30:00,14.0575678156,14.5901,24.68529,0.0773333333,5652666.66666666,23.8,23.6,35.7333333333,0,31.6666666667,24.6666666667,3718000,0,14
13/07/2016 00:45:00,14.0193642853,14.433825,24.65865,0.0773333333,5653000,23.8,23.6,35.4,0,31.3,24.7,3718000,0,13
13/07/2016 01:00:00,14.0314954862,14.15785,24.64533,0.0773333333,5653000,23.8,23.6,35.1666666667,0,30.8666666667,24.6666666667,3718000,0,13
13/07/2016 01:15:00,14.0770657073,13.935075,24.64533,78,5653000,23.8,23.6,34.9,0,30.4333333333,24.6666666667,3718000,0,13
13/07/2016 01:30:00,14.1313268358,13.689025,24.63201,0.0776666667,5653000,23.7333333333,23.6,34.7666666667,0,29.9333333333,24.6666666667,3718000,0,12
13/07/2016 01:45:00,14.0031442705,13.4596,24.6087,0.0773333333,5653000,23.7,23.6,34.5666666667,0,29.5333333333,24.7,3718000,0,13
13/07/2016 02:00:00,14.0936274605,13.290025,24.59538,0.0773333333,5653000,23.7,23.6,34.4333333333,0,29.1,24.7666666667,3718000,0,12
13/07/2016 02:15:00,14.0646898377,13.26675,24.56874,78,5653000,23.7,23.6,34.2666666667,0,28.6666666667,24.7666666667,3718000,0,12
13/07/2016 02:30:00,14.0378045469,13.4463,24.55209,78,5653000,23.7,23.5666666667,34.2,0,28.2666666667,24.8,3718000,0,12
13/07/2016 02:45:00,14.089015564,13.51945,24.5421,0.0773333333,5653000,23.7,23.5333333333,34.0333333333,0,27.8666666667,24.8,3718000,0,13
