Control,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld-sup,Tbld-ret,Thw out,Fhp,Thp-sup,Thp-ret,Qhp,Php.1,Pbld
01/11/2016 00:00:00,16.0394221756,8.7913,22.50747,0.3536666667,6123000,24.5,23.5333333333,36.1666666667,0,30.4666666667,24.5,4150000,0,404
01/11/2016 00:15:00,16.1079532784,8.954225,22.50081,0.3563333333,6123000,23.8333333333,23.1666666667,35.6333333333,0,29.8333333333,24.2333333333,4150000,0,277
01/11/2016 00:30:00,16.0361382311,9.140425,22.48416,0.3553333333,6123000,23.3,22.9,35.1666666667,0,29.2333333333,24.2,4150000,0,168
01/11/2016 00:45:00,16.0503308973,9.3765,22.50081,0.3563333333,6123000,23.0666666667,22.7333333333,34.7666666667,0,28.6666666667,24.1,4150000,0,142
01/11/2016 01:00:00,16.0645796029,9.486225,22.48416,326,6123000,22.8666666667,22.6333333333,34.4333333333,0,28.1666666667,24.1,4150000,0,103
01/11/2016 01:15:00,16.147010917,9.63585,22.47417,0.3563333333,6123000,22.8,22.6,34.1666666667,0,27.7333333333,24.1,4150000,0,89
01/11/2016 01:30:00,16.1881697374,9.7223,22.48083,0.3556666667,6123000,22.7666666667,22.5666666667,33.9,0,27.3,24.1,4150000,0,83
01/11/2016 01:45:00,16.0504419681,9.838675,22.45752,0.3553333333,6123000,22.6333333333,22.5,33.7,0,27,24.2,4150000,0,66
01/11/2016 02:00:00,16.1546298887,9.9085,22.44753,0.3306666667,6123000,22.6,22.4666666667,33.5,0,26.7,24.2,4150000,0,53
01/11/2016 02:15:00,16.0022532806,9.96835,22.46085,0.3553333333,6123000,22.6,22.5,33.3,0,26.4,24.2,4150000,0,50
01/11/2016 02:30:00,16.1142469073,10.11465,22.42755,356,6123000,22.5,22.4,33.1666666667,0,26.1333333333,24.2,4150000,0,46
01/11/2016 02:45:00,16.0720215737,10.18115,22.44087,0.3543333333,6123000,22.4333333333,22.3,33.0666666667,0,25.9333333333,24.2,4150000,0,50
01/11/2016 03:00:00,16.1712405333,10.310825,22.44087,0.3563333333,6123000,22.4,22.3,32.9666666667,0,25.7,24.2,4150000,0,38
01/11/2016 03:15:00,16.1333192275,10.344075,22.42089,0.3533333333,6123000,22.4,22.3,32.8333333333,0,25.5333333333,24.2,4150000,0,33
01/11/2016 03:30:00,16.1415809138,10.3873,22.4109,355,6123000,22.3666666667,22.2666666667,32.7666666667,0,25.3666666667,24.2,4150000,0,34
01/11/2016 03:45:00,16.1177199273,10.410575,22.4109,0.3543333333,6123000,22.3,22.2,32.6333333333,0,25.2333333333,24.2,4150000,0,45
01/11/2016 04:00:00,16.0171168692,10.42055,22.38759,0.3606666667,6123000,22.3,22.1666666667,32.5666666667,0,25.1,24.2,4150000,0,38
01/11/2016 04:15:00,15.9929557309,10.390625,22.39092,0.3656666667,6123000,22.1666666667,22.1,32.5,0,24.9333333333,24.2,4150000,0,39
01/11/2016 04:30:00,16.0583968673,10.417225,22.38426,0.3643333333,6123000,22.2,22.1,32.4666666667,0,24.8666666667,24.2333333333,4150000,0,34
01/11/2016 04:45:00,16.1267072705,10.370675,22.36761,0.3596666667,6123000,22.1666666667,22.0666666667,32.4,0,24.7666666667,24.2333333333,4150000,0,38
01/11/2016 05:00:00,16.1101402904,10.3341,22.36761,366,6123000,22.1333333333,22.0666666667,32.3333333333,0,24.7,24.2666666667,4150000,0,30
01/11/2016 05:15:00,387.2519570278,10.357375,22.36095,0.3653333333,6123000,22.1,22,32.3,686,25.0666666667,23.8666666667,4150000,1671,35
01/11/2016 05:30:00,1099.254001683,10.4006,22.36761,0.3646666667,6123333.33333333,28.4666666667,22.2,32.2,0.6856666667,29.2666666667,22.4666666667,4151333,3333333335,5401
01/11/2016 05:45:00,404.8773156981,10.38065,22.37427,365,6124333.33333333,30.8,23.2,32.1333333333,687,31.6666666667,25.3,4152000,5300,3223
01/11/2016 06:00:00,15.9833838927,10.44715,22.40091,0.3686666667,6125000,26.5333333333,24.2,32.1,0,31.1333333333,25.2333333333,4152000,0,1511
01/11/2016 06:15:00,15.9607244067,10.4671,22.39425,0.3703333333,6125000,24.1333333333,23.6333333333,32,0,30.4333333333,24.7666666667,4152000,0,221
