Time,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld,sup,Tbld,ret,Tout,sup,Tout,ret,F hw,Thw in,c,Thw out,Fhp,Thp,sup,Thp,ret,R0,R1,R2,R3,R4,R5,R6,R7,Qhp,Php.1,Pbld
Wed Mar 01 2017 00:00:00 GMT+0100 (CET),1335.33,3.43805,22.92705,0.3393333333,8939333.33333333,32.6,25.8333333333,2.7333333333,0.8666666667,0,27.8,32.9666666667,0,33.2,26.9333333333,22.1236423607,22.3218098151,21.9687062491,22.5503918065,21.3522157933,21.5233622615,22.3186767047,22.1732352853,6966000,0,2670.67,,,,,,,
Wed Mar 01 2017 00:15:00 GMT+0100 (CET),126.83,3.521175,22.90041,334,8940000,26.3333333333,25.6666666667,3.6,5.1,0,28.0666666667,32.9666666667,0,32.5666666667,26.4,22.1342416505,22.2935569318,21.9269216146,22.5425517586,21.5167161378,21.6527244751,22.2284839733,22.2157353513,6966000,0,253.67,,,,,,,
Wed Mar 01 2017 00:30:00 GMT+0100 (CET),326.00,3.487925,22.90707,0.3413333333,8940000,26.2,24.5666666667,4.8,7.5666666667,0,28.3,32.9,0,31.9333333333,25.8333333333,22.1443294809,22.479409052,21.9776672071,22.5412560704,21.5559868842,21.7029479033,22.2434928923,22.1761868477,6966000,0,652.00,,,,,,,
Wed Mar 01 2017 00:45:00 GMT+0100 (CET),143.17,3.46465,22.88709,341,8940000,25,24.2666666667,6.4,8.9,0,28.4333333333,32.8666666667,0,31.2666666667,25.6666666667,22.1169116066,22.3716600204,21.9836463062,22.5793879166,21.565397823,21.6016496027,22.2987967328,22.1629608926,6966000,0,286.33,,,,,,,
Wed Mar 01 2017 01:00:00 GMT+0100 (CET),122.17,3.41145,22.86711,0.34,8940000,24.4666666667,23.8,7.8666666667,10.1,0,28.6,32.8,0,30.6,25.6,22.1421081953,22.2795898738,21.9724165873,22.5929714088,21.7599896319,21.6423912828,22.1721700809,22.046732273,6966000,0,244.33,,,,,,,
Wed Mar 01 2017 01:15:00 GMT+0100 (CET),82.67,3.474625,22.85379,331,8940000,24.0333333333,23.6,9.2666666667,11.3,0,28.6666666667,32.6666666667,0,30.0666666667,25.5666666667,22.1350023764,22.2769876468,21.9322119207,22.5370883961,21.7719138767,21.5250295392,22.1626261756,22.0041956329,6966000,0,165.33,,,,,,,
Wed Mar 01 2017 01:30:00 GMT+0100 (CET),66.00,3.467975,22.85379,338,8940000,23.7666666667,23.4,10.6333333333,12.4,0,28.7666666667,32.6333333333,0,29.5,25.5,22.1425061235,22.2180754561,21.9544578916,22.5444748434,21.7533465373,21.5218674863,22.2236104522,21.9830659392,6966000,0,132.00,,,,,,,
Wed Mar 01 2017 01:45:00 GMT+0100 (CET),1197.17,3.4713,22.8438,0.3376666667,8940666.66666666,29.8333333333,23.7333333333,4.8666666667,1.7,0,28.7666666667,32.5,633,30.5,23.5,22.1195020908,22.1505901853,21.9868931272,22.5271920923,22.1340711028,21.5251587883,22.150367435,22.0459130736,6967000,5126.3333333333,2394.33,,,,,,,
Wed Mar 01 2017 02:00:00 GMT+0100 (CET),1395.83,3.53115,22.83381,0.3363333333,8941000,32.5,25.3333333333,3.3333333333,0.4,0,28.8666666667,32.4333333333,0.6315,33.5,27.0333333333,22.140033406,22.2958813445,21.9367595175,22.6226319363,22.1608874189,21.5252192943,22.1552727401,22.0446679227,6968000,4706.5,2791.67,,,,,,,
Wed Mar 01 2017 02:15:00 GMT+0100 (CET),797.22,3.554425,22.82715,348,8942000,31.1333333333,25.2666666667,4.0666666667,3.3,0,29,32.3666666667,1,33.4333333333,27.1333333333,22.1349560166,22.2583432042,21.9927835363,22.5832444544,22.1831886398,21.5302238352,22.263847671,21.9883801362,6968000,4,2391.67,,,,,,,
