Control,Time,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld-sup,Tbld-ret,Tout-sup,Tout-ret,F hw,Thw in-c,Thw out,Fhp,Thp-sup,Thp-ret,R0,R1,R2,R3,R4,R5,R6,R7,Qhp,Php.1,Pbld
01/11/2016 00:00:00,Tue Nov 01 2016 00:00:00 GMT+0100 (CET),16.0394221756,8.7913,22.50747,0.3536666667,6123000,24.5,23.5333333333,7.6333333333,10.3,0,28.3,36.1666666667,0,30.4666666667,24.5,21.7277873408,21.8696163787,21.7446944179,22.1273602636,21.4833557329,21.3396254974,21.5823635905,21.613454714,4150000,0,404.3333333333
01/11/2016 00:15:00,Tue Nov 01 2016 00:15:00 GMT+0100 (CET),16.1079532784,8.954225,22.50081,0.3563333333,6123000,23.8333333333,23.1666666667,9,11.3333333333,0,28.4333333333,35.6333333333,0,29.8333333333,24.2333333333,21.7456924197,21.7602348991,21.8047341759,22.1576108387,21.5017542631,21.3661072199,21.6434645159,21.5997847396,4150000,0,277.6666666667
01/11/2016 00:30:00,Tue Nov 01 2016 00:30:00 GMT+0100 (CET),16.0361382311,9.140425,22.48416,0.3553333333,6123000,23.3,22.9,10.2,12.2666666667,0,28.6333333333,35.1666666667,0,29.2333333333,24.2,21.7489826269,21.7567003419,21.7704298674,22.2108785206,21.4903842512,21.4368877011,21.5910320947,21.6346439684,4150000,0,168.3333333333
01/11/2016 00:45:00,Tue Nov 01 2016 00:45:00 GMT+0100 (CET),16.0503308973,9.3765,22.50081,0.3563333333,6123000,23.0666666667,22.7333333333,11.4,13.3,0,28.7333333333,34.7666666667,0,28.6666666667,24.1,21.7487668284,21.7479967557,21.739828535,22.1481831191,21.5420987396,21.4473133345,21.5795727493,21.5797599382,4150000,0,142.6666666667
01/11/2016 01:00:00,Tue Nov 01 2016 01:00:00 GMT+0100 (CET),16.0645796029,9.486225,22.48416,326,6123000,22.8666666667,22.6333333333,12.4666666667,14.2,0,28.8333333333,34.4333333333,0,28.1666666667,24.1,21.7281296392,21.7529516758,21.7881560269,22.1336192313,21.505142785,21.3251713802,21.6642574957,21.5717177087,4150000,0,103.3333333333
01/11/2016 01:15:00,Tue Nov 01 2016 01:15:00 GMT+0100 (CET),16.147010917,9.63585,22.47417,0.3563333333,6123000,22.8,22.6,13.5,15,0,28.9666666667,34.1666666667,0,27.7333333333,24.1,21.7363673557,21.7486025316,21.7718629514,22.1276525136,21.577555628,21.3138188633,21.5763524044,21.3927984923,4150000,0,89.6666666667
01/11/2016 01:30:00,Tue Nov 01 2016 01:30:00 GMT+0100 (CET),16.1881697374,9.7223,22.48083,0.3556666667,6123000,22.7666666667,22.5666666667,14.4,15.7666666667,0,29,33.9,0,27.3,24.1,21.7489133412,21.7539599754,21.7370959045,22.1279774237,21.4241437422,21.253609389,21.649500381,21.5002392726,4150000,0,83
01/11/2016 01:45:00,Tue Nov 01 2016 01:45:00 GMT+0100 (CET),16.0504419681,9.838675,22.45752,0.3553333333,6123000,22.6333333333,22.5,15.2666666667,16.4,0,29.1,33.7,0,27,24.2,21.7405231421,21.7603948577,21.8001433704,22.1484847991,21.3642063756,21.1300209927,21.5824009345,21.4143491363,4150000,0,66.6666666667
01/11/2016 02:00:00,Tue Nov 01 2016 02:00:00 GMT+0100 (CET),16.1546298887,9.9085,22.44753,0.3306666667,6123000,22.6,22.4666666667,16.0333333333,16.9666666667,0,29.0333333333,33.5,0,26.7,24.2,21.7295229978,21.8318082331,21.7711298712,22.2052927318,21.4439147027,21.1294102446,21.5817416752,21.3991043201,4150000,0,53.6666666667
01/11/2016 02:15:00,Tue Nov 01 2016 02:15:00 GMT+0100 (CET),16.0022532806,9.96835,22.46085,0.3553333333,6123000,22.6,22.5,16.7333333333,17.5,0,29.1666666667,33.3,0,26.4,24.2,21.7261712461,21.902714972,21.7418444318,22.1428130033,21.3779105403,21.1312253527,21.6539499908,21.4502588594,4150000,0,50
