Control,Time,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld-sup,Tbld-ret,Tout-sup,Tout-ret,F hw,Thw in-c,Thw out,Fhp,Thp-sup,Thp-ret,R0,R1,R2,R3,R4,R5,R6,R7,Qhp,Php.1,Pbld
06/02/2017 00:00:00,Mon Feb 06 2017 00:00:00 GMT+0100 (CET),467.2071966707,2.590175,20.48283,0.3613333333,8398000,26.3666666667,22.4333333333,3.8,2.6,0,22.4333333333,23.6,273,22.1333333333,22.3333333333,20.3470139533,20.4629842122,20.4239767827,20.4515767601,20.3065669551,19.7903138265,20.3156554164,20.2673910985,6421000,0,1646
06/02/2017 00:15:00,Mon Feb 06 2017 00:15:00 GMT+0100 (CET),450.7458958492,2.536975,20.48949,364,8399000,24.8,22.5333333333,4.4333333333,1.9333333333,0,22.7,23.6,0.2735,22.4666666667,22.5333333333,20.3622001149,20.5200599676,20.4165010681,20.4547674968,20.5028710814,19.7441322597,20.4437255688,20.4284861418,6421666.66666667,10,944
06/02/2017 00:30:00,Mon Feb 06 2017 00:30:00 GMT+0100 (CET),29.9785353104,2.457175,20.47617,0.3636666667,8399000,24.2333333333,22.4,5.1333333333,3.4666666667,0,22.8666666667,23.6,275,22.6666666667,22.4,20.2887303909,20.4816443332,20.3647244496,20.3944052434,20.5852171509,19.7467481732,20.3874178119,20.4501952795,6422000,390,794.6666666667
06/02/2017 00:45:00,Mon Feb 06 2017 00:45:00 GMT+0100 (CET),726.2393820023,2.310875,20.48949,362,8399000,25.4333333333,22.1,5.1333333333,2.4333333333,0,23.1,23.7,514,26.7666666667,22.1,20.2750225694,20.4530080533,20.4165446073,20.3623589074,20.7138321173,19.7443485277,20.377577661,20.3341253552,6422000,5181,1424.6666666667
06/02/2017 01:00:00,Mon Feb 06 2017 01:00:00 GMT+0100 (CET),1108.2571035209,2.304225,20.49282,361,8399666.66666666,29.3,22.3333333333,3.2666666667,0.0666666667,0,23.3333333333,23.7333333333,0.6323333333,29.7666666667,23.0333333333,20.3540062619,20.3808766537,20.4292035187,20.3609656531,20.7536377843,19.7481695898,20.4451948604,20.4909235987,6423000,4903,2925
06/02/2017 01:15:00,Mon Feb 06 2017 01:15:00 GMT+0100 (CET),32.1534616117,2.350775,20.52279,0.3613333333,8400333.33333333,28.9666666667,23.1666666667,3.3,0.9,0,23.7666666667,23.7333333333,274,25.9333333333,23.8333333333,20.2163018398,20.3754678611,20.3903764945,20.3516901162,20.7627464132,19.927803273,20.3761139426,20.3979622463,6424000,0,2458
06/02/2017 01:30:00,Mon Feb 06 2017 01:30:00 GMT+0100 (CET),511.2106896659,2.350775,20.58939,0.3626666667,8401000,25.3666666667,23.2666666667,4.2,1.8333333333,0,23.9,23.8,0.2745,22.8,23.4,20.3279716854,20.4352247778,20.4997208453,20.3531095755,20.7790819108,19.9545457608,20.6746415243,20.6501380524,6424000,0,900
06/02/2017 01:45:00,Mon Feb 06 2017 01:45:00 GMT+0100 (CET),444.1665259478,2.37405,20.59272,0.3633333333,8401000,23.7333333333,22.6666666667,4.6666666667,2.4,0,23.9,23.8333333333,274,23.2666666667,23.0666666667,20.2936293345,20.4319447877,20.4469126362,20.3487293981,20.7976523047,19.9734918145,20.8015306723,20.6016781227,6424000,231,449
06/02/2017 02:00:00,Mon Feb 06 2017 02:00:00 GMT+0100 (CET),26.3740254978,2.3674,20.56275,0.3643333333,8401000,24.3,22.3333333333,5.2,3.8,0,23.9666666667,23.8666666667,0.2746666667,26.5666666667,22.4,20.3466398046,20.3700842169,20.5952469534,20.4120567993,20.7690184591,20.0756541697,20.7641853129,20.6087677136,6424000,2148,765.6666666667
06/02/2017 02:15:00,Mon Feb 06 2017 02:15:00 GMT+0100 (CET),527.1266463874,2.390675,20.55276,0.3636666667,8401000,22.9,22.1666666667,5.4333333333,3.1,0,24,23.9,274,21.9666666667,22.0666666667,20.235267157,20.3729287147,20.5452084083,20.4703589983,20.7936293904,20.01929272,20.8431785991,20.5279833651,6424000,0,294.3333333333
06/02/2017 02:30:00,Mon Feb 06 2017 02:30:00 GMT+0100 (CET),21.0824760373,2.32085,20.56608,0.3623333333,8401000,23.1333333333,22.0333333333,5.8666666667,4.4,0,24.0333333333,24,0.2756666667,21.8666666667,21.8666666667,20.2127791882,20.4349461057,20.6019387467,20.5535464776,20.7606073455,19.9561696464,20.7653188331,20.4633358863,6424000,62,477
06/02/2017 02:45:00,Mon Feb 06 2017 02:45:00 GMT+0100 (CET),24.3664487401,2.337475,20.57274,0.3606666667,8401000,23.2666666667,21.9666666667,6.0333333333,3.8666666667,0,24.1333333333,24.0666666667,0.2743333333,22.0333333333,21.8,20.2996687701,20.3669754669,20.5416881353,20.5496762871,20.7486058707,19.944597247,20.5667318037,20.5519863631,6424000,292,564.3333333333
