Control,Time,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld-sup,Tbld-ret,Tout-sup,Tout-ret,F hw,Thw in-c,Thw out,Fhp,Thp-sup,Thp-ret,R0,R1,R2,R3,R4,R5,R6,R7,Qhp,Php.1,Pbld
08/03/2017 00:00:00,Tue Mar 21 2017 06:45:00 GMT+0100 (CET),15.7438567,5.32,22.77054,0.3473333333,9293000,22.9333333333,22.7666666667,13.3666666667,15.1666666667,0,28.8666666667,31.0666666667,0,28.1,25.1333333333,22.3089560774,22.3449274174,21.9313424445,22.5442612751,21.5572092823,21.5533976888,22.2110353275,22.0148749626,7317000,0,73
08/03/2017 00:15:00,Tue Mar 21 2017 07:00:00 GMT+0100 (CET),15.7745693959,5.39315,22.76721,0.3473333333,9293000,22.8333333333,22.7,14.4,15.9,0.1703333333,8.9666666667,46.9333333333,0,27.7,25.1333333333,22.3228502687,22.2448182713,21.9735292267,22.6030561787,21.5807329996,21.5669222721,22.143584044,21.9917166911,7317000,0,50.6666666667
08/03/2017 00:30:00,Tue Mar 21 2017 07:15:00 GMT+0100 (CET),1691.1173817177,5.462975,22.84713,341,9293000,22.8,22.7,6.7,4.2666666667,0.0366666667,8.8333333333,45.6333333333,0,28.1333333333,24.0666666667,22.3130707414,22.148136133,22.1594775337,22.7279499939,21.5129012126,21.5447684369,22.1590392361,22.0203731,7317000,0,51.6666666667
08/03/2017 00:45:00,Tue Mar 21 2017 07:30:00 GMT+0100 (CET),1811.0762056452,5453,22.83048,0.3473333333,9293000,22.7666666667,22.7,4.8666666667,2.3,0.0253333333,10.5333333333,45.3,0,27.5666666667,24.0333333333,22.3115036473,22.1465762798,22.1387659804,22.6705610427,21.3819237408,21.6134157197,22.2188787686,22.0085470154,7317000,0,40
08/03/2017 01:00:00,Tue Mar 21 2017 07:45:00 GMT+0100 (CET),1912.8096311216,5.61925,22.83381,0.3473333333,9293000,22.7666666667,22.5666666667,3.9,1.6333333333,24,10.6666666667,47.2333333333,0,26.9666666667,24.2,22.3079675936,22.1455942454,22.1900841062,22.6101918529,21.340015871,21.6590213286,22.1575985878,22.0445565635,7317000,0,88
08/03/2017 01:15:00,Tue Mar 21 2017 08:00:00 GMT+0100 (CET),1414.0278560637,5.742275,22.96701,0.3523333333,9293333.33333333,27.4666666667,22.5666666667,3.4,0.8,0.2846666667,9.5333333333,49.1666666667,0.6785,28.2666666667,23.1,22.321914888,22.1461789604,22.1877732304,22.8530481614,21.3832433183,21.6587651372,22.1060976535,21.9952063506,7317666.66666667,5269,2027
08/03/2017 01:30:00,Tue Mar 21 2017 08:15:00 GMT+0100 (CET),1409.8404959108,5.562725,23.35329,0.3523333333,9294000,27.4666666667,23.2333333333,2.7,-0.05,0.3143333333,7.8333333333,45.5333333333,0,28.6,22.6333333333,22.1824769458,22.2345217675,22.1453448679,23.6563803036,21.3720517207,21.4721079927,22.0550939137,21.9064069645,7318000,0,1722.3333333333
08/03/2017 01:45:00,Tue Mar 21 2017 08:30:00 GMT+0100 (CET),1472.7027581027,5.59265,22.85712,0.3563333333,9294000,23.5,23.7,2.1666666667,-0.5666666667,0.0346666667,9.4666666667,40.9666666667,0,28.1666666667,23,22.1229095105,22.2713448367,22.1922415484,23.3345389179,21.3398943309,21.3299852274,21.9637213979,21.9664970976,7318000,0,0
08/03/2017 02:00:00,Tue Mar 21 2017 08:45:00 GMT+0100 (CET),1542.55259175,6.1047,22.95036,352,9294000,23.4666666667,23.0333333333,1.7333333333,-0.8666666667,29,10.1666666667,40.3,0,27.6333333333,23.1666666667,22.1412737833,22.156426233,22.199792866,23.0506811012,21.3009001299,21.5207904797,21.9724893119,21.8371663022,7318000,0,168.6666666667
08/03/2017 02:15:00,Tue Mar 21 2017 09:00:00 GMT+0100 (CET),1126.7926635593,6.473775,22.98033,0.3523333333,9294666.66666666,29.1333333333,22.9,1.5,-1.3666666667,0.03,10.6,41.1333333333,628,29.4666666667,22.9333333333,22.1522513259,22.1479874182,22.1346527786,23.0316480714,21.2657003933,21.5164864278,22.0673417345,21.8105902017,7318666.66666667,4748,2558.6666666667
08/03/2017 02:30:00,Tue Mar 21 2017 09:15:00 GMT+0100 (CET),1561.0438582633,6.507025,22.97034,355,9295000,27.7666666667,23.7666666667,1.2,-1.4333333333,0.0023333333,14.1666666667,39.2333333333,0,29.1666666667,23.1666666667,22.1209075968,22.1492316457,22.1910300575,22.9369714583,21.3653420723,21.5075242635,21.9711410224,21.829495741,7319000,0,1665
08/03/2017 02:45:00,Tue Mar 21 2017 09:30:00 GMT+0100 (CET),1741.9628830057,6.51035,22.95702,0.3553333333,9295000,24,24.1333333333,1.1333333333,-1.2666666667,0.0433333333,11.1666666667,42.1333333333,0,28.7,23.3333333333,22.1391916372,22.1505153521,22.1504107435,22.9363104797,21.1606446483,21.461185556,21.9734533876,21.7849136511,7319000,0,26
08/03/2017 03:00:00,Tue Mar 21 2017 09:45:00 GMT+0100 (CET),1805.4912452023,6.560225,22.98366,0.3543333333,9295000,23.9333333333,23.3333333333,1.2,-1.0666666667,0.0023333333,14.4666666667,40.0666666667,0,28.1,23.5333333333,22.1399045522,22.1602248875,22.135836551,22.9371980034,21.17516299,21.5225818042,22.0369226035,21.8259061644,7319000,0,245
08/03/2017 03:15:00,Tue Mar 21 2017 10:00:00 GMT+0100 (CET),1281.9891380646,6.593475,23.0103,0.35,9295000,23.5,23.0333333333,1.3666666667,-0.7333333333,1,17,38.3333333333,0,27.5333333333,23.7333333333,22.1440697875,22.3043274984,22.1922496009,23.0278416555,21.1943372779,21.5242994971,21.9678842719,21.7859868177,7319000,0,185.3333333333
08/03/2017 03:30:00,Tue Mar 21 2017 10:15:00 GMT+0100 (CET),16.4951433387,6.686575,23.02029,0.3533333333,9295000,23.6333333333,22.9333333333,2.7333333333,1.8333333333,1,19.8333333333,37,0.01,41.4666666667,23.1333333333,22.120005689,22.1643277741,22.1713484257,22.9395499673,21.1600349897,21.5205831851,21.9009698784,21.7834346885,7319000,195.3333333333,286.6666666667
08/03/2017 03:45:00,Tue Mar 21 2017 10:30:00 GMT+0100 (CET),15.9311897647,6.985825,23.02695,0.3526666667,9295000,23.1,22.8,3.9333333333,6.0333333333,0.1063333333,8.5,50.7,3,43.6666666667,23.1,22.1345960225,22.1995561919,22.1381736329,23.0584387197,21.1720482257,21.4508120099,21.9394067549,21.6942631282,7319000,70.5,125.3333333333
08/03/2017 04:00:00,Tue Mar 21 2017 10:45:00 GMT+0100 (CET),15.9745703288,7049,22.98033,0.3543333333,9296000,23.0333333333,22.7666666667,5.6,8.6666666667,0.0423333333,8.5666666667,49.1666666667,0.0025,41.9666666667,23.2,22.1393090467,22.146688579,22.1637053404,23.1984147049,21.1957309707,21.3329440451,21.7568195814,21.6500928743,7319000,52.5,112.3333333333
08/03/2017 04:15:00,Tue Mar 21 2017 11:00:00 GMT+0100 (CET),1766.9016877226,7.2618,23.08356,0.3533333333,9296000,23,22.6666666667,4,2.1666666667,3,13.3,46,0,39.3333333333,23.0666666667,22.2034658069,22.1455869721,22.1870732598,23.1267929232,21.1571458082,21.3886851445,21.7669663798,21.648088702,7319000,0,143.3333333333
08/03/2017 04:30:00,Tue Mar 21 2017 11:15:00 GMT+0100 (CET),1927.8368313575,6.8761,23.09022,352,9296000,22.8,22.6666666667,2.9333333333,0.7,0.0013333333,17.3333333333,43.6333333333,0,37.2,23.3333333333,22.1796149624,22.1541540123,22.1790812222,23.0227699401,21.1633029433,21.3145602108,21.8354205161,21.5961124723,7319000,0,60
08/03/2017 04:45:00,Tue Mar 21 2017 11:30:00 GMT+0100 (CET),692.1668823678,6.420575,23.08356,352,9296000,22.9,22.5666666667,3.1333333333,1.3666666667,28,11.5333333333,49.2666666667,0.01,38.9,23.1333333333,22.136399526,22.290523081,22.1385260826,22.9358741478,21.1726526824,21.326809647,21.7584943378,21.6474919724,7319000,179.3333333333,137.3333333333
08/03/2017 05:00:00,Tue Mar 21 2017 11:45:00 GMT+0100 (CET),16.0172692921,6.480425,23.09688,354,9296000,23,22.5666666667,4.2,5.4666666667,33,11.3333333333,49.9,5,45.2,22.6333333333,22.1395048724,22.1624861254,22.1442462468,22.9327734991,21.1928003113,21.322822531,21.768651012,21.5940949612,7319000,133,177
08/03/2017 05:15:00,Tue Mar 21 2017 12:00:00 GMT+0100 (CET),15.9931712579,6.8495,23.09688,354,9296000,22.7333333333,22.6,5.3666666667,9.1333333333,0.0023333333,15.8333333333,47.0333333333,0,43.2666666667,22.8333333333,22.1427595763,22.1454164219,22.1853391368,22.9323205299,21.1609671129,21.3208012513,21.8342921568,21.662364921,7319000,0,56.6666666667
08/03/2017 05:30:00,Tue Mar 21 2017 12:15:00 GMT+0100 (CET),15.9978608346,6.7963,23.09022,353,9296000,22.6,22.5,6.9,10.8666666667,1,19,44.5666666667,0,41.5,23.1333333333,22.1202492402,22.1505092539,22.1330760979,22.9808281494,21.1631939671,21.3111879485,21.7576228174,21.5904923218,7319000,0,52.6666666667
