Control,Time,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld-sup,Tbld-ret,Tout-sup,Tout-ret,F hw,Thw in-c,Thw out,Fhp,Thp-sup,Thp-ret,R0,R1,R2,R3,R4,R5,R6,R7,Qhp,Php.1,Pbld
01/03/2017 00:00:00,Fri Mar 10 2017 00:00:00 GMT+0100 (CET),15.9728031639,4.27595,22.72059,0.3403333333,9121000,23.9333333333,23.7666666667,13.1333333333,14.9333333333,0,28.2666666667,29,0,28.6666666667,25.5,22.7822388092,23.1389415625,21.9890892024,22.3343965758,23.5622003346,22.1134934011,22.5841125625,22.3900367445,7147000,0,70
01/03/2017 00:15:00,Fri Mar 10 2017 00:15:00 GMT+0100 (CET),15.8494997244,4.34245,22.72392,293,9121000,23.8666666667,23.7,14.1666666667,15.7,0,28.3,29,0,28.2333333333,25.5,22.7469426074,23.1483151675,21.9572471522,22.3336162852,23.5559175136,22.1121143563,22.5558220921,22.4248056484,7147000,0,57
01/03/2017 00:30:00,Fri Mar 10 2017 00:30:00 GMT+0100 (CET),15.9280122423,4.31585,22.71726,0.3403333333,9121000,23.7666666667,23.6,15.1,16.3666666667,0,28.2,29,0,27.8666666667,25.4666666667,22.8518264539,23.2417482077,21.925254915,22.3440345079,23.5352188406,21.9391970812,22.5818872292,22.3844269735,7147000,0,51.3333333333
01/03/2017 00:45:00,Fri Mar 10 2017 00:45:00 GMT+0100 (CET),752.0962012129,4.279275,22.71726,339,9121000,25.6666666667,23.5666666667,9.8,10.3333333333,0,28.1333333333,28.9666666667,0.6505,29,24.3333333333,22.7210000222,23.1365027864,21.9814186634,22.4208931743,23.5340239795,21.9722524573,22.6159914557,22.4070350048,7147000,4231,821.6666666667
01/03/2017 01:00:00,Fri Mar 10 2017 01:00:00 GMT+0100 (CET),1194.6423923158,4.292575,22.7106,0.34,9122000,31.0333333333,24.5333333333,5.7,2.5333333333,0,28.1,28.9,0.6486666667,31.8,25.1333333333,22.7380866263,23.1392594863,21.9446249423,22.3423627753,23.5263100906,21.9806906823,22.5616861543,22.3719942037,7148333.33333333,4978.3333333333,2571.6666666667
01/03/2017 01:15:00,Fri Mar 10 2017 01:15:00 GMT+0100 (CET),22.4480071027,4.272625,22.71726,0.3343333333,9122666.66666666,32.8333333333,26,5.2666666667,3.2,0,28.1666666667,28.9333333333,0,33.6333333333,27.1666666667,22.8042980789,23.1433214027,21.9257392875,22.3348033413,23.5318825695,22.1232522973,22.5750870293,22.4275802854,7149000,0,2657.3333333333
01/03/2017 01:30:00,Fri Mar 10 2017 01:30:00 GMT+0100 (CET),15.8461520008,4.319175,22.71726,0.3423333333,9123000,27.5,26,5.7,7.2666666667,0,28.3,28.9,0,32.8666666667,26.6666666667,22.7297007969,23.1754436365,21.975352325,22.3332468537,23.5409199971,22.1213141411,22.6762417036,22.3727298432,7149000,0,926.5
01/03/2017 01:45:00,Fri Mar 10 2017 01:45:00 GMT+0100 (CET),16.0078910772,4.312525,22.73391,0.3403333333,9123000,26.2333333333,24.9333333333,6.2,9.3,0,28.3666666667,28.9,0,32.2666666667,26.0666666667,22.7913510955,23.2569982856,21.9824799755,22.3376673716,23.5667060414,22.1218457753,22.5581407037,22.433913815,7149000,0,498.6666666667
01/03/2017 02:00:00,Fri Mar 10 2017 02:00:00 GMT+0100 (CET),15.9087243003,4.24935,22.73058,0.34,9123000,25.5333333333,24.7333333333,7.0333333333,10.1,0,28.3333333333,28.8333333333,0,31.5333333333,25.8333333333,22.7991679948,23.1470022961,21.9718009157,22.4155365631,23.571854438,22.1187603606,22.5621822608,22.4322900102,7149000,0,311
01/03/2017 02:15:00,Fri Mar 10 2017 02:15:00 GMT+0100 (CET),16.0663332497,4.2028,22.73391,0.3403333333,9123000,24.9,24.4,8.3,11.0333333333,0,28.3666666667,28.8,0,30.8333333333,25.7,22.8607722782,23.1347276589,21.9510937707,22.3402490317,23.5731561418,22.1202656461,22.6048665021,22.4290630086,7149000,0,201
